2026-05-30 10:17:35,676 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:35,677 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:35,691 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:35,764 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:35,800 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:35,800 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:35,833 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:35,908 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:35,938 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:35,943 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:35,963 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:36,018 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:36,053 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:36,055 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:36,082 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:36,166 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:36,199 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:36,206 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:36,232 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:36,297 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:36,326 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:36,346 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:36,368 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:36,431 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:36,463 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:36,481 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:36,511 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:36,569 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:36,590 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:36,593 | CAMERA_MANAGER | INFO | c2 sent 60 frames
2026-05-30 10:17:36,630 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:36,639 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:36,639 | CAMERA_MANAGER | INFO | c3 sent 60 frames
2026-05-30 10:17:36,728 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:36,734 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:36,775 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:36,781 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:36,852 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:36,855 | CAMERA_MANAGER | INFO | c4 sent 60 frames
2026-05-30 10:17:36,867 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:36,912 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:36,912 | CAMERA_MANAGER | INFO | c1 sent 60 frames
2026-05-30 10:17:36,918 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:36,981 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:36,999 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:37,052 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:37,060 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:37,117 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:37,136 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:37,165 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:37,197 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:37,265 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:37,283 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:37,323 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:37,341 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:37,405 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:37,422 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:37,459 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:37,478 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:37,522 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:37,541 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:37,581 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:37,617 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:37,665 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:37,691 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:37,722 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:37,771 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:37,806 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:37,825 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:37,863 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:37,902 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:37,943 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:37,954 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:38,000 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:38,029 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:38,064 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:38,095 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:38,123 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:38,166 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:38,196 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:38,224 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:38,256 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:38,293 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:38,336 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:38,376 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:38,424 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:38,440 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:38,485 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:38,512 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:38,549 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:38,577 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:38,620 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:38,653 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:38,691 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:38,719 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:38,768 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:38,796 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:38,834 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:38,865 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:38,915 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:38,946 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:38,965 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:38,981 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:39,048 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:39,084 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:39,096 | CAMERA_MANAGER | INFO | Sending frame from c1
