2026-05-30 11:14:23,227 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:14:25,171 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:14:25,171 | DETECTION_SUBSCRIBER | INFO | Processing : c3
2026-05-30 11:14:26,854 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:26,862 | DETECTION_SUBSCRIBER | INFO | Processing : c3
2026-05-30 11:14:28,537 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:28,561 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:14:30,478 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:14:30,483 | DETECTION_SUBSCRIBER | INFO | Processing : c1
2026-05-30 11:14:32,381 | DETECTION_SUBSCRIBER | INFO | Published To Vehicle Queue
2026-05-30 11:14:32,397 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:32,397 | DETECTION_SUBSCRIBER | INFO | Processing : c1
2026-05-30 11:14:34,341 | DETECTION_SUBSCRIBER | INFO | Published To Vehicle Queue
2026-05-30 11:14:34,344 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:14:34,355 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:34,355 | DETECTION_SUBSCRIBER | INFO | Processing : c3
